sample,broadband albedo,wavelength,albedo,Fraction of incident irradiance within band,cell concentration,class
BB_070221_1,0.44421,3.435,0.007424,0.000113,1393862.87,snicar
BB_070221_1,0.44421,3.445,0.007509,0.000109,1393862.87,snicar
BB_070221_1,0.44421,3.455,0.007594,0.000103,1393862.87,snicar
BB_070221_1,0.44421,3.465,0.007657,0.000122,1393862.87,snicar
BB_070221_1,0.44421,3.475,0.007739,0.000112,1393862.87,snicar
BB_070221_1,0.44421,3.485,0.007842,0.000111,1393862.87,snicar
BB_070221_1,0.44421,3.495,0.007968,0.000111,1393862.87,snicar
BB_070221_1,0.44421,3.505,0.008082,0.00011,1393862.87,snicar
BB_070221_1,0.44421,3.515,0.008187,0.000104,1393862.87,snicar
BB_070221_1,0.44421,3.525,0.008315,0.0001,1393862.87,snicar
BB_070221_1,0.44421,3.535,0.008474,0.000095,1393862.87,snicar
BB_070221_1,0.44421,3.545,0.008652,0.000091,1393862.87,snicar
BB_070221_1,0.44421,3.555,0.008817,0.000088,1393862.87,snicar
BB_070221_1,0.44421,3.565,0.008969,0.00009,1393862.87,snicar
BB_070221_1,0.44421,3.575,0.00913,0.000092,1393862.87,snicar
BB_070221_1,0.44421,3.585,0.00932,0.000089,1393862.87,snicar
BB_070221_1,0.44421,3.595,0.009544,0.000088,1393862.87,snicar
BB_070221_1,0.44421,3.605,0.00976,0.000092,1393862.87,snicar
BB_070221_1,0.44421,3.615,0.010006,0.000091,1393862.87,snicar
BB_070221_1,0.44421,3.625,0.010289,0.000088,1393862.87,snicar
BB_070221_1,0.44421,3.635,0.010422,0.000093,1393862.87,snicar
BB_070221_1,0.44421,3.645,0.010564,0.000103,1393862.87,snicar
BB_070221_1,0.44421,3.655,0.010697,0.000092,1393862.87,snicar
BB_070221_1,0.44421,3.665,0.010835,0.000069,1393862.87,snicar
BB_070221_1,0.44421,3.675,0.010983,0.000064,1393862.87,snicar
BB_070221_1,0.44421,3.685,0.011144,0.000072,1393862.87,snicar
BB_070221_1,0.44421,3.695,0.011318,0.00009,1393862.87,snicar
BB_070221_1,0.44421,3.705,0.011474,0.000087,1393862.87,snicar
BB_070221_1,0.44421,3.715,0.011628,0.000085,1393862.87,snicar
BB_070221_1,0.44421,3.725,0.011797,0.000084,1393862.87,snicar
BB_070221_1,0.44421,3.735,0.011904,0.000079,1393862.87,snicar
BB_070221_1,0.44421,3.745,0.011836,0.000079,1393862.87,snicar
BB_070221_1,0.44421,3.755,0.011762,0.000079,1393862.87,snicar
BB_070221_1,0.44421,3.765,0.011681,0.000077,1393862.87,snicar
BB_070221_1,0.44421,3.775,0.0116,0.000077,1393862.87,snicar
BB_070221_1,0.44421,3.785,0.011404,0.000077,1393862.87,snicar
BB_070221_1,0.44421,3.795,0.011219,0.000076,1393862.87,snicar
BB_070221_1,0.44421,3.805,0.011041,0.000073,1393862.87,snicar
BB_070221_1,0.44421,3.815,0.010866,0.000075,1393862.87,snicar
BB_070221_1,0.44421,3.825,0.010696,0.000083,1393862.87,snicar
BB_070221_1,0.44421,3.835,0.010536,0.000075,1393862.87,snicar
BB_070221_1,0.44421,3.845,0.010389,0.000076,1393862.87,snicar
BB_070221_1,0.44421,3.855,0.010207,0.000079,1393862.87,snicar
BB_070221_1,0.44421,3.865,0.010027,0.00008,1393862.87,snicar
BB_070221_1,0.44421,3.875,0.009866,0.00008,1393862.87,snicar
BB_070221_1,0.44421,3.885,0.009712,0.000079,1393862.87,snicar
BB_070221_1,0.44421,3.895,0.009565,0.000079,1393862.87,snicar
BB_070221_1,0.44421,3.905,0.009425,0.00008,1393862.87,snicar
BB_070221_1,0.44421,3.915,0.009291,0.000081,1393862.87,snicar
BB_070221_1,0.44421,3.925,0.009162,0.000079,1393862.87,snicar
BB_070221_1,0.44421,3.935,0.009041,0.000078,1393862.87,snicar
BB_070221_1,0.44421,3.945,0.008925,0.000078,1393862.87,snicar
BB_070221_1,0.44421,3.955,0.008814,0.000078,1393862.87,snicar
BB_070221_1,0.44421,3.965,0.008696,0.000077,1393862.87,snicar
BB_070221_1,0.44421,3.975,0.008578,0.000076,1393862.87,snicar
