OBJECTID,CID,class,POINT_X,POINT_Y,b1_PCA_202,b2_PCA_202,b3_PCA_202,b4_PCA_202,b5_PCA_202,b6_PCA_202,b7_PCA_202,b8_PCA_202,b9_PCA_202,b10_PCA_20
68,1,rock,-121.6911105,48.8530895,82020.53125,-97.5035477,-882.0281982,-367.9799805,-37.4259148,153.4605865,256.9141235,-30.3531609,35.3992157,24.9255447
69,1,snow,-121.6939998,48.85255423,574.8151855,-12540.37988,3310.725098,-536.9727783,325.5263062,461.4581909,94.9344864,484.6329651,964.2794189,-242.3176575
70,1,snow,-121.6973824,48.85388361,24379.04492,-3546.910645,799.288269,-277.8100281,321.3291626,-1022.957275,674.0300903,17.6559772,357.8747864,344.0469971
71,1,water,-121.6918607,48.85452823,87884.11719,-2390.518799,-625.0317993,-903.515686,38.5820999,-49.3835182,-113.3224564,-4.6542931,32.8344154,42.3842888
72,1,rock,-121.6905527,48.85387441,78519.32813,-547.56073,-1231.424683,480.8545532,-141.6837311,11.0659161,-129.3816071,-289.0717163,-273.7677612,135.5939941
73,1,snow,-121.6962289,48.85267361,28691.65039,-6698.238281,2164.347412,-258.4420471,-185.6218109,264.940979,-83.9095917,387.7727356,-1049.188355,361.4406433
74,1,rock,-121.6969133,48.85484323,75169.60938,2887.796631,-825.7203369,921.0817261,151.5087128,300.0024109,-156.1910706,-108.7752609,52.3726616,-62.4959641
75,1,vegetation,-121.6962518,48.85451783,72780.50781,6699.656738,-972.5343018,1048.939331,-528.5841675,249.0288696,470.0845642,3.1052096,158.2933502,-36.2005463
76,1,snow,-121.6956978,48.85300132,38925.37891,-5064.227539,985.6282349,102.7148438,-533.5521851,563.451416,8.5208082,289.1163635,412.0444946,477.132782
77,1,snow,-121.6978191,48.8537237,11576.2998,-6566.674316,537.4743652,272.9032593,668.7536621,-537.1405029,760.286438,295.4693298,837.798584,36.7494621
78,1,rock,-121.6901529,48.8540857,82221.01563,157.3310699,-1067.63501,-304.2287598,-219.2297211,-77.3819427,91.5392685,7.1781783,181.9846497,-209.255188
79,1,snow,-121.6948873,48.85323388,34788.58203,-4569.979492,676.6339722,507.6932678,-108.2474976,231.1147614,-549.0952148,-363.9056396,-882.5404053,23.4032497
80,1,vegetation,-121.6930049,48.85252363,81364.71094,1687.230469,-585.7713623,140.6916199,121.4148865,-45.3935089,22.6261711,170.538681,-25.4430637,112.1937637
81,1,rock,-121.6898803,48.85396812,88128.32813,-1479.327637,-805.2674561,-783.9182129,15.028553,-44.2472458,3.157321,-53.9249611,-91.9596176,-1.1888224
82,1,vegetation,-121.6954256,48.85373583,83525.03906,-161.3141327,-785.1868286,-563.2011108,-221.5904999,-93.4600067,-38.2581367,53.7056732,136.4037476,187.5096741
83,1,rock,-121.6984784,48.85483767,75760.4375,-771.1953735,-1367.062744,554.2515869,-155.7381439,306.3694763,-251.9212494,-174.5588989,-24.7671242,-99.840744
84,1,water,-121.6964212,48.8545825,80483.89844,-1682.348267,-1026.463379,-150.4819794,-354.1031799,245.954422,-451.4670715,130.2368011,220.0283966,-168.5048523
85,1,vegetation,-121.6915,48.8532085,78254.40625,3540.458252,-563.008606,581.5081787,-214.2928772,110.3666,241.383194,98.7547607,33.4866714,80.3601151
86,1,snow,-121.6972861,48.8544559,24254.46094,-2561.648682,493.0074158,1631.887207,796.145813,-386.967865,435.521759,441.9079285,-342.6687622,184.4488831
87,1,water,-121.6928393,48.85353266,86506.10938,-2913.45044,-508.6201477,-687.5330811,4.0307326,-24.2557411,-207.8028564,23.9821358,-33.6126175,21.6162033
88,1,vegetation,-121.6954513,48.85384139,79113.82031,2810.4104,-587.18927,247.4576263,-274.1090088,-228.6835632,-0.1731102,420.2293091,515.0394897,8.1791372
89,1,rock,-121.6982884,48.85475248,81755.10938,-617.9573364,-930.6262207,-184.6601563,-271.5210266,61.660675,-102.3284531,-121.2230377,-29.2162132,94.3355942
90,1,vegetation,-121.6939944,48.85382585,79963.97656,1948.064697,-1148.398804,176.2119446,-349.1289368,157.2591705,329.0648804,-27.1916351,57.5387115,35.3137512
91,1,vegetation,-121.6963636,48.85450442,77413.64844,4941.487793,-363.3375854,500.9726868,45.364296,-49.0381813,43.0744133,-7.8622794,40.2448082,170.6731567
92,1,water,-121.691023,48.85457344,87824.08594,-2464.296875,-578.1172485,-785.2191162,4.4114442,-3.3602488,-229.8946991,55.2823029,23.8711834,-8.8424978
93,1,water,-121.6909819,48.85465338,87867.70313,-2423.050293,-629.489502,-843.987915,115.3700256,-120.5847015,-166.969696,-47.392868,-9.9693766,6.8013339
94,1,water,-121.6912641,48.85461275,87698.96094,-2331.463623,-646.8623657,-802.0803223,-27.0807838,2.8540566,-127.6508484,-12.7822046,-7.2099304,24.6147766
95,1,water,-121.6918309,48.85407494,88116.625,-2793.778565,-640.6584473,-819.2444458,172.0211639,-140.4629517,-204.8527985,-16.378809,14.2148123,80.1824265
96,1,rock,-121.6900856,48.85446266,77244.77344,-1252.304565,-948.8936768,252.9011536,-108.6386261,282.8166504,22.0765209,-89.8314972,71.7796555,-3.2551806
