OBJECTID,class,POINT_X,POINT_Y,b1_PCA_202,b2_PCA_202,b3_PCA_202,b4_PCA_202,b5_PCA_202,b6_PCA_202,b7_PCA_202,b8_PCA_202,b9_PCA_202,b10_PCA_20,cell concentration (cells/mL)
39,snow,-121.691835,48.85307054,-59293.37109,-545.9483643,-935.9563599,-448.4341736,367.6722412,796.4300537,172.2837982,6.317677,144.6878204,290.4293213,
40,rock,-121.6985115,48.85478076,-120403.5078,-5165.796875,50.1081543,455.572937,1057.30603,153.7431488,-165.6282349,44.02071,137.3534546,127.4679337,
41,water,-121.6909389,48.85459201,-122133.7266,-4057.355957,789.9613647,477.3466492,928.2136841,305.22052,-134.4608917,15.5443916,99.9484024,172.2519531,
42,snow,-121.6916842,48.85332243,-39425.64063,2379.182861,-775.3422852,252.8739166,-476.1855774,-979.571106,38.2089462,1120.662964,76.1507874,251.2385254,
43,rock,-121.6991245,48.85486391,-120377.4063,-6787.347656,712.4128418,440.2499695,734.1553955,-95.2776108,-178.9103851,37.194458,-7.0629826,289.3996887,
44,snow,-121.6923665,48.8544638,-50800.14063,3004.295898,-574.5759888,65.5274658,-98.7848969,-696.9238281,211.6920624,187.6532135,243.3050842,350.8989258,
45,snow,-121.6923349,48.85254322,-22760.79883,7935.486328,1084.974365,-1012.130371,-150.1721497,620.1989136,-327.7382507,144.609848,369.8450623,268.4198914,
46,snow,-121.6898725,48.85489072,-60435.09766,1369.137451,65.2318802,-170.2836151,671.0294189,-77.1873474,387.1266479,-524.0353394,370.6702271,-256.5327148,
47,snow,-121.6929071,48.85257723,-29406.8125,1968.851807,-643.2678223,134.9463043,41.0088654,-618.0290527,-27.6121826,101.0414734,-5.5141726,-614.269165,
48,snow,-121.6904504,48.85427256,-59724.41016,-548.8078613,-1192.055542,305.7243652,149.7917938,-182.5792847,-345.3611755,-150.5464325,-60.6274223,-39.0461769,
50,snow,-121.6973345,48.85471657,-54503.38672,1029.546997,-267.4344482,-317.809021,-412.8128357,-416.162262,-551.7094727,343.5740051,236.3448181,223.5500336,
51,snow,-121.6952759,48.85355255,-42671.53906,973.7764282,-1306.882446,50.2035599,6.8197737,-851.1141357,-874.6747437,-907.0339966,193.2854004,-193.1112823,
52,snow,-121.6944777,48.8542493,-43772.13281,3575.052002,1058.485352,994.6732788,-524.6043091,582.4666748,-263.7210693,382.6580811,2.461272,-62.1877136,
53,water,-121.6928132,48.85333132,-116633.4531,-3430.831543,1063.772217,23.4576435,951.0910645,827.1378174,-379.6211853,-58.6481133,254.8099976,108.2570267,
54,snow,-121.6982631,48.8532686,-38029.86719,4327.959961,279.8664551,-774.1107178,-92.7154312,293.7138062,-541.5567017,-425.4809265,328.6111755,272.6178894,
55,snow,-121.6948476,48.85349039,-41000.48438,2857.066895,474.1005249,-536.4520874,-265.3056641,-115.1445694,-671.6418457,13.6903,-104.7196274,-143.5001678,
56,snow,-121.6945766,48.85394382,-39574.07422,4439.030273,859.2727661,720.5559692,-108.8463364,-782.5499268,-322.2751465,-499.1964111,387.0869141,-599.9816284,
57,snow,-121.6959051,48.85270871,-37062.33594,2699.11377,230.755722,-894.9277344,-524.7079468,0.8234804,-921.6392212,-479.3408203,-28.2146683,-138.4091949,
58,snow,-121.696783,48.85348622,-34174.40625,5442.055664,446.6818237,180.8292694,273.0204163,820.3029175,-182.1374817,-43.0453224,-296.4319153,142.6898499,
59,snow,-121.6911611,48.85386833,-41155.55078,4039.893311,-506.9659119,-562.5751343,333.8761292,9.3806915,309.2624512,152.2087402,-489.6237488,486.0615845,
60,snow,-121.6895307,48.85438965,-53370.04688,1212.441528,-1627.292481,29.2079334,-201.8885803,32.3747101,-23.933733,1364.511841,-238.6308594,69.5275116,
61,snow,-121.6933588,48.8534927,-41888.07031,990.3787231,-521.9071655,1018.648132,-1171.442505,345.1801147,-841.9198608,-116.4093704,484.4593201,353.4039612,
62,snow,-121.698357,48.85500617,-63461.27344,759.0820923,-1466.442505,21.7533264,181.1195374,-66.1850662,101.4327316,-325.2576904,-157.9928741,189.3999481,
63,snow,-121.6959872,48.85277237,-21835.18359,6435.611816,1041.885132,-520.1965942,-155.3801117,-506.9997253,565.479248,-279.8450012,-223.554184,471.3012695,
64,snow,-121.6987847,48.85371491,-42481.89063,3920.42041,457.6869202,179.8824615,1.2699984,26.1769733,-600.6980591,-654.7127075,64.1671448,146.647644,
65,snow,-121.6911953,48.85302193,-37878.52344,1533.456909,-1103.971191,-434.4825134,-67.2139969,246.3470001,390.6065674,-25.1841125,69.3680954,215.2001038,
66,water,-121.6944001,48.85447657,-120438.375,-4420.740234,647.7452393,514.1943359,1130.054565,289.0555115,58.9828644,42.2745552,177.458374,-7.3956876,
67,snow,-121.6970163,48.85305471,-30213.13086,2097.248291,-1306.99707,-884.6845093,-336.8795776,65.4780807,-350.0867004,80.5723572,-216.1046753,-222.7185974,
68,snow,-121.6988985,48.85321529,-36368.05859,6105.509766,1206.062866,-219.047699,-772.3410645,132.6982422,-305.1499634,277.9051208,-335.9650269,174.4257355,
69,snow,-121.6934913,48.85259141,-33399.09766,3108.872803,-587.4198608,519.1063232,-644.8386841,823.5890503,-242.2050171,-79.5955887,255.6015167,-366.5868835,
70,snow,-121.6947335,48.85447581,-50005.51563,2714.61792,139.1364136,325.1488953,-123.7285233,-394.1054688,103.9098129,-11.6105261,-23.8415222,-38.8937836,
71,snow,-121.6960168,48.85419634,-38323.15234,4861.754395,645.6120605,-293.6018066,-391.1309509,-30.8307114,-508.7793579,-263.0788574,-253.7244415,246.4916382,
72,snow,-121.6973325,48.85455877,-55531.57031,-1322.558716,-1337.236939,-17.8872566,-712.2214966,-209.6178894,361.3566895,-298.8722839,-162.0995941,-573.1494141,
73,snow,-121.6911542,48.85479036,-53827.17188,1197.914917,-484.5152893,347.513092,211.7543335,-558.1234741,-166.2745209,-266.5996704,612.0072021,-403.7121277,
74,water,-121.6933448,48.85463014,-122031.8828,-3880.570068,575.8179932,556.7213745,1026.434326,129.7753296,-112.6867981,323.6281738,66.3283386,41.9463387,
75,snow,-121.6961675,48.85397932,-47103.35938,2049.653076,-169.8124695,370.7774963,287.9846497,145.5938416,30.5515194,598.8002319,-185.1212006,-520.6687622,
76,snow,-121.6912264,48.85440082,-61542.07813,-130.8502197,-1263.641113,8.5843287,-321.2991028,-144.603363,-280.2895508,75.7328796,-229.8559113,215.1097565,
77,snow,-121.690549,48.85382344,-41991.53125,3757.60791,1040.004028,-177.8506165,-474.3273621,-653.5726929,-25.2549515,-87.0203705,-972.6553955,234.3561096,
